"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","8","10","2","5","12","14","11","7","1","13","9","4","7","1","11","9","13","4","12","8","2","10","5","2","8","5","14","1","11","7","9","13","4","6","3","6","3","6","3","12","14","10"
"K","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12"
"threshold","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.01","0.01","0.1","0.1","0.2","0.2","0.2","0.2","0.2"
"LL","7541905.04307716","7500879.4515215","7447421.51180812","7541970.08910075","7314218.41974292","7331277.46509388","7038520.47172909","7011624.8825392","7001547.71525731","6950664.34128593","6929624.31823411","6928582.00233293","5656044.40182137","5651997.0108484","5644702.07960822","5561404.49064251","5560010.1877212","5550700.12142711","5387783.40590973","5363442.66949923","5337464.76598205","5223045.37917118","5144758.86915145","5088967.67548556","5084420.67219424","5095026.56253971","5067561.11245605","4956952.77154853","4951897.22018012","4947401.00676576","4841802.65907901","4840426.98053854","4828325.58735115","1570813.04911309","1569741.81165639","1522038.70774449","1583860.22122806","1506535.72832309","1506912.83326055","-Inf","-Inf","-Inf"
"BIC","14077021.6471003","13958084.3920177","13943334.9131499","13941580.5691182","13838352.9646405","13803142.2684709","13345988.9741287","13293794.2114629","13273737.4356373","13170374.2719804","13129890.6415908","13127903.5685266","11050915.192821","11042917.9696131","11027804.8375376","10861732.9292013","10858518.6125016","10840421.7495086","10604271.4056998","10570285.8264244","10500308.2597735","10289553.3286017","10165706.8307006","10075738.1383421","10055664.3392371","10048087.4232177","10011080.7239289","9826306.6652756","9816098.00380068","9807105.57697196","9596006.44033656","9593255.08325561","9569149.85561891","7097743.37990573","7062050.03107225","5368750.72236458","5316834.5172519","4577416.23843503","4577212.46234784","-Inf","-Inf","-Inf"
"ICL","14076902.319278","13958001.2480074","13943269.5976824","13941429.4509645","13838293.8401881","13803029.4628726","13345903.8417621","13293712.2812488","13273662.0174556","13170294.4703455","13129800.6419505","13127800.8815728","11050807.7514377","11042798.2213215","11027695.0426532","10861580.2844543","10858363.1567795","10840279.0579964","10604165.2191079","10570191.604328","10500147.6866768","10289444.3515006","10165572.5676745","10075600.5451149","10055534.5513874","10047922.395356","10010918.0951501","9826200.3232434","9815982.79701509","9806981.12848539","9595868.80541107","9593138.61092269","9569033.56338786","7097560.09896042","7061861.01107704","5368591.26417786","5316653.3701671","4577293.08683133","4577080.13270166","-Inf","-Inf","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","2","5","3","6","1","4","7","8","9","10","11","12","22","23","21","25","24","26","15","16","17","19","34","31","30","20","18","37","35","36","39","38","40","13","14","27","28","41","42","29","32","33"
"complexity","113518","117677","107285","128804","89084","96901","82428","82248","82237","82417","82237","82226","29448","29437","29496","29437","29485","29426","19314","17657","19689","17650","13960","11523","12761","16007","13986","9877","9888","9888","9877","9877","9866","11401","11386","6990","6986","5356","5356",NA,NA,NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals","pop<min.individuals","pop<min.individuals"
