"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","8","12","5","14","10","2","11","7","1","13","9","4","1","7","11","13","4","9","8","12","2","5","12","10","14","11","1","7","9","13","4","6","3","6","3","6","3","8","2","14","10","5"
"K","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14"
"threshold","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.01","0.01","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"LL","7616838.70267002","7494306.31551366","7516558.56552961","7430609.45977696","7514524.7578408","7396684.98946604","7076611.23695568","7056814.91281404","7042350.8909752","6988846.17601622","6970163.77344165","6957169.0252287","5698737.75524793","5690619.85568091","5680954.49470012","5612533.72395358","5593288.74859622","5578018.8965346","5426866.57242844","5384875.89932843","5342454.81808444","5320710.386644","5280240.78149688","5275850.68796043","5250103.96398008","4979832.17109743","4973399.03710251","4970829.60579584","4892499.64771978","4873531.63701556","4863779.00408068","1638512.98648456","1643955.61204781","1625930.61081858","1614761.14158755","1589766.47210188","1568563.48423114","-Inf","-Inf","-Inf","-Inf","-Inf"
"BIC","14029359.1285985","13958055.335786","13829127.0064366","13813491.2864102","13811223.7882038","13720693.9157679","13300328.5096936","13262598.3464101","13233785.5994228","13124913.6845051","13089411.3643557","13063537.1646203","11092888.2612276","11076537.1654031","11056709.7807749","10919983.5359723","10882105.5446146","10851450.5438009","10639086.1831241","10569312.9367793","10477632.7936493","10459571.2855031","10410817.5897998","10373346.2647546","10321666.5682939","9857351.83287539","9844600.861576","9839346.70227222","9682802.08281055","9644866.0614021","9625476.09222282","7143412.05815195","7114573.1834852","5419869.47399342","5406623.50938412","4641576.09981963","4618445.76072993","-Inf","-Inf","-Inf","-Inf","-Inf"
"ICL","14029275.6003605","13958012.9830037","13829064.4469916","13813394.7150251","13811133.8903769","13720549.3679136","13300258.4311941","13262523.341889","13233699.1644658","13124829.8120617","13089319.0448227","13063444.2184953","11092773.6611789","11076438.4631494","11056580.0611472","10919864.9447772","10881961.4691486","10851313.9687076","10638934.1201228","10569207.5746752","10477526.0503069","10459498.7059434","10410684.368941","10373201.4533228","10321497.5189424","9857229.13990911","9844473.02367001","9839226.85511205","9682667.86387607","9644742.54256146","9625339.42317375","7143243.67787206","7114409.13708181","5419734.17103041","5406481.08656127","4641437.63093377","4618288.57420401","-Inf","-Inf","-Inf","-Inf","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","2","1","6","4","5","3","7","8","9","10","11","12","23","22","21","24","26","25","16","15","17","20","29","19","18","35","37","36","39","38","40","13","14","27","28","41","42","30","31","32","33","34"
"complexity","135790","116198","135753","118134","137313","120947","96166","95956","95943","96153","95943","95930","34343","34356","34412","34399","34330","34343","24202","22600","23371","20504","16875","20110","20131","11536","11523","11536","11523","11523","11510","12225","12210","7814","7810","6180","6180",NA,NA,NA,NA,NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals"
