"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","12","8","10","2","5","14","11","1","7","13","4","9","11","7","1","2","4","13","9","12","8","8","14","2","1","10","11","7","13","4","9","3","6","3","6","6","3","10","5","12","14","5"
"K","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13"
"threshold","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.01","0.01","0.1","0.1","0.2","0.2","0.1","0.1","0.2","0.2","0.2"
"LL","7400476.19882606","7459035.6183078","7513881.55993388","7447817.35533162","7434578.79744005","7291041.26147045","7064348.7059494","7027318.0705654","7018385.7141199","6967123.71065078","6951036.27099766","6949133.41623922","5676067.52643132","5672843.35483941","5671273.95718162","5629206.24212282","5582930.05674667","5580112.36976163","5579187.72372111","5348341.38177675","5308809.83283027","5291146.43843843","5258469.01743599","5073230.88367679","4970605.05307039","4975556.58872773","4959629.81446258","4940434.64015843","4867228.61470772","4860203.95172278","4860173.9579558","1675603.27563501","1614569.47377319","1577713.44439922","1581496.48221469","1534971.0613942","1498876.52520482","-Inf","-Inf","-Inf","-Inf","-Inf"
"BIC","13939641.7750307","13902378.3454675","13898875.485616","13894123.3124418","13811762.77769","13675930.3567065","13336724.4451251","13264499.0524283","13246527.9118231","13142380.8822422","13112041.8810071","13108129.743776","11068735.7877106","11062748.6312886","11059716.2636873","11029601.7675385","10883134.8905316","10876931.9020855","10875543.7967662","10518061.5831015","10431983.1250428","10418385.3279229","10345678.1046571","10029701.6958218","9846312.06091553","9845226.47073171","9824255.15598566","9785864.80737734","9639559.1841902","9625616.28593459","9625449.87068636","7123183.42598584","7117710.5682512","5417630.54887438","5390041.96593477","4600667.84167632","4576042.43489075","-Inf","-Inf","-Inf","-Inf","-Inf"
"ICL","13939602.5938722","13902307.7466499","13898786.5230126","13894057.1907348","13811697.4804696","13675793.7973173","13336651.9522055","13264429.3205525","13246451.0527309","13142286.3024784","13111960.3530275","13108033.1833807","11068620.2971518","11062640.4301718","11059601.2421719","11029511.330528","10883000.7020311","10876793.1944664","10875382.4792195","10517939.0574055","10431874.925933","10418263.1495914","10345535.6576218","10029579.0067213","9846167.75377149","9845092.95336035","9824130.31403834","9785738.90390086","9639432.86649573","9625471.19717073","9625309.63384683","7123019.55457634","7117528.74496699","5417478.76889336","5389858.09961488","4600509.70614587","4575875.36238501","-Inf","-Inf","-Inf","-Inf","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","1","2","5","3","6","4","7","9","8","10","12","11","21","22","23","17","26","24","25","15","16","30","18","31","37","33","35","36","38","40","39","14","13","28","27","41","42","19","20","29","32","34"
"complexity","97115","114522","127285","112923","119224","102171","89297","89090","89102","89285","89078","89090","31954","31902","31890","25799","31878","31942","31890","20140","20931","18481","19310","13165","10700","11939","10712","10712","10700","10688","10700","11798","11813","7398","7402","5768","5768",NA,NA,NA,NA,NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals"
