"","X[[i]]"
"1",2
"2",2
"3",2
"4",1
"5",2
"6",1
"7",2
"8",1
"9",2
"10",2
"11",2
"12",2
"13",2
"14",2
"15",2
"16",2
"17",2
"18",1
"19",2
"20",2
"21",2
"22",1
"23",2
"24",2
"25",2
"26",2
"27",1
"28",1
"29",2
"30",2
"31",2
"32",2
"33",2
"34",2
"35",2
"36",2
"37",2
"38",2
"39",2
"40",2
"41",2
"42",2
"43",2
"44",2
"45",1
"46",2
"47",2
"48",2
"49",2
"50",1
"51",2
"52",2
"53",2
"54",2
"55",2
"56",1
"57",2
"58",1
"59",2
"60",2
"61",2
"62",2
"63",2
"64",2
"65",2
"66",2
"67",2
"68",1
"69",2
"70",2
"71",2
"72",2
"73",2
"74",2
"75",2
"76",3
"77",1
"78",2
"79",1
"80",2
"81",1
"82",1
"83",1
"84",2
"85",2
"86",1
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",1
"95",2
"96",1
"97",2
"98",1
"99",2
"100",2
"101",1
"102",1
"103",1
"104",1
"105",2
"106",2
"107",2
"108",1
"109",2
"110",2
"111",1
"112",2
"113",1
"114",1
"115",1
"116",1
"117",2
"118",2
"119",1
"120",1
"121",1
"122",2
"123",2
"124",1
"125",1
"126",2
"127",1
"128",2
"129",1
"130",1
"131",2
"132",2
"133",2
"134",1
"135",2
"136",1
"137",2
"138",2
"139",1
"140",1
"141",1
"142",2
"143",2
"144",2
"145",1
"146",2
"147",2
"148",2
"149",2
"150",1
"151",1
"152",1
"153",2
"154",2
"155",1
"156",2
"157",1
"158",2
"159",1
"160",1
"161",2
"162",1
"163",2
"164",1
"165",2
"166",1
"167",2
"168",2
"169",1
"170",2
"171",2
"172",2
"173",2
"174",1
"175",1
"176",2
"177",1
"178",2
"179",2
"180",1
"181",1
"182",2
"183",2
"184",1
"185",1
"186",1
"187",1
"188",2
"189",2
"190",2
"191",1
"192",1
"193",1
"194",1
"195",1
"196",2
"197",2
"198",1
"199",1
"200",1
"201",2
"202",2
"203",1
"204",2
"205",2
"206",2
"207",2
"208",1
"209",1
"210",2
"211",2
"212",1
"213",2
