"","X1","X2","X3","X4","X5","X6","X7","X8"
"V1",-0.000102657413315259,-0.000253800236442998,-2.78706259582602e-05,8.82501106801848e-05,-0.000727724851847447,-0.000464095899277684,-0.000658933288954513,-0.000350247416800814
"V2",0.0017566347787224,-0.00272717676743221,-0.00396568468800294,-0.00136474094298033,-0.00103852620088203,-0.0118817561352251,-0.00876215417392805,-0.000851341514535606
"V3",0.00101399086898492,-0.006773586087199,0.0014344909313414,-0.00509258890242972,0.00831844331447248,-0.011485382974632,-0.00610337594333194,-0.000173270963649032
"V4",0.00196770131635766,0.00140656371915888,-0.00624839750546156,-0.0017134769864897,0.00212252714808768,0.00501331000643306,0.00461166303608564,0.00648014042115498
"V5",-0.00171311711433226,0.000274302303015774,0.00542458277753942,0.000856671034852766,0.00656217164346944,0.00727003478212422,0.00143178468247266,0.00648392171262802
"V6",0,0,0,0,0,0,0,0
"V7",0.00423232767475195,-0.00305752417165992,0.0108416682129107,0.00889193691942232,-0.0212611293092785,-0.0470076140086435,-0.0298735788957144,0.00151748403559312
"V8",0.0024390486231639,-0.00972704678096459,0.00441271300224808,-0.00483974628848403,-0.0127508666593501,-0.0264032693364183,-0.0182709732114863,0.00317977064590412
"V9",3.67962091600921e-06,-1.12169625381684e-05,4.85156550823192e-06,-1.10927030619685e-05,1.89447613302266e-05,-1.13996643616011e-05,2.37901929372325e-06,1.80750869721116e-06
"V10",0,0,0,0,0,0,0,0
"V11",8.31205847921357e-05,-0.000189887076168158,0.000325663758187789,0.000176060997391611,-0.000223441579443964,-0.000196692164289496,-0.000506574478201262,-0.000167774719255521
"V12",3.56371925408477e-05,-8.23790290515777e-05,0.000211268447243158,3.95113547926193e-05,-0.000465246335170793,-0.000532756101967808,-0.00017258992160385,0.000455148503478613
"V13",0.000322478423629335,0.00160220503532739,-0.00172723643905458,0.000290485301354668,0.00182956790751754,0.00364527036788423,-0.000933308672060671,-0.000429004166118978
"V14",6.23429029533661e-06,-0.000283146168905335,3.41690899908481e-05,-8.51897311792952e-05,0.000237362671763975,-0.000202534521323864,8.53577573866666e-05,0.000235733190064255
"V15",0.000171532212339275,-0.000130311685298086,-1.93238792130336e-06,-0.000382025068652248,-0.00116325265784707,-0.000544059104091479,-0.00129762732243979,-0.000795435610404078
"V16",-0.00167386319076914,-0.000805671105178786,-0.00132917873681098,0.000146713802146068,-8.56810246019764e-05,1.85180678063896e-05,-0.00106512195853124,-0.000691464768439909
"V17",0,0,0,0,0,0,0,0
"V18",-6.03979148692818e-05,-3.78115781043218e-05,-0.000101070191540533,-5.94728993432971e-05,8.39456745347971e-05,1.64673677633459e-05,0.000182756717699049,5.7344946475721e-05
"V19",5.7396144089023e-07,1.11193954414934e-06,-5.36633974089399e-07,2.443769505889e-06,6.23905806726295e-07,-1.35507560464681e-06,-4.79398099275364e-06,-1.81418325671483e-06
"V20",0.000550828017578162,0.000813632329026556,-0.00564543933509646,-0.00216070372881769,-0.00047949159041056,-0.00390074529671,0.000127721784291568,-0.00413263813593987
"V21",-0.000680684041493787,-0.000979214877792704,-0.000307762223606067,0.00119457968750269,-0.0130593466046662,-0.0202930704311464,-0.0108578465890759,-0.00133088407867411
"V22",-0.00578985195912657,-0.00233312721781633,-0.0116882630634401,-0.00723981670526044,-0.00242558796685831,-0.00120491675951359,0.000582419041962185,0.0042404436233328
"V23",6.33825081194464e-05,0.000141284508932887,0.000717363714503139,-1.43578245460401e-05,0.000658888708941021,0.000367656954172399,-0.00099425065492954,-0.000803436311205152
"V24",0,0,0,0,0,0,0,0
"V25",-0.0706487878527754,0.00162536836922111,9.77202698567707e-05,0.0230575625107422,-0.00870627647683266,-0.00823818360490648,0.00725738760693114,-0.0217379722789603
"V26",0.000650200862081761,0.00320835475968836,-0.00746642866922023,0.0121830182299758,-0.0166542960346619,-0.0143185178285954,-0.00652371513605648,0.00293919973777895
"V27",7.69745725001131e-08,-8.71597683121121e-08,2.67524109916458e-07,3.30764229864425e-07,1.1651548728137e-06,1.01741282480006e-06,-3.02474631492274e-06,2.49588539560209e-06
"V28",0.00372769454057124,-0.00229772192109748,0.0178616695552838,0.00305566996354291,-0.00212184298051765,-0.00873093836735723,0.00118524313835298,-0.00847774043847366
"V29",-0.000684603607649952,0.000951798997276621,-0.000439064233664178,0.00110765047840028,8.83685462605828e-05,-0.000666395434197248,-0.00078491897928921,-0.00140647466831684
"V30",9.68961732144098e-06,6.20222794282727e-05,5.32415331542865e-05,2.33762083561003e-05,-4.19889663755832e-05,-8.90530701553951e-06,9.61856492744195e-06,-3.96032177062055e-05
"V31",-2.59962052356344e-07,-6.84349276116416e-07,2.15464009084229e-06,-1.50268643929167e-06,-1.898818772408e-06,-3.63942734398712e-06,-3.61599116903717e-06,-5.30661408638086e-07
"V32",-0.0710677384146298,0.00590766796931459,-0.000654329438402681,0.0119437248966337,-0.00497815188321584,0.00162005973200574,-0.00118986994254348,0.00787585198544354
"V33",-0.000399400027676263,0.00144003215234729,0.000352888648360333,-0.000215202857445955,0.000137318744068888,-4.80210582667258e-05,0.000301035513380631,0.000117521128128597
"V34",1.05186355275181e-05,0.000225789464041183,-0.000245915957565391,-1.15743009640735e-05,0.000327884115208292,-0.000508779261046832,0.000114478955899952,1.89605809618225e-05
"V35",0.00103461469985184,0.00153813139055288,-0.00122314141904803,0.000539845737957229,-0.000627946673787163,0.00290044828319063,0.00211539671396789,-0.000593231466675102
"V36",0.000115522452403427,0.000332784882074218,0.000782922691233687,3.80266420584955e-05,0.00042054689970762,0.000796278853699028,-0.000506345658554085,-0.00039441992535489
"V37",9.25350314050672e-06,-2.33339494533638e-05,3.70373213889352e-06,-2.66298879844045e-05,1.69389879600467e-06,-6.42022616559674e-05,-9.20442460810812e-05,-0.000106302592035281
"V38",2.41482457235674e-05,0.000118038197931351,-0.000458833390702567,-7.63217908682882e-05,0.000545817227576088,-0.000184394021649712,0.000720522325894493,-0.000538938013079475
"V39",0.0058970799698019,-0.00623564998329226,0.0106422980196781,-0.000234532474768413,-0.00457370900789982,-0.00383802347290808,0.00169065474536858,0.000283280681582481
"V40",-0.000245801423943935,-2.35921006999278e-05,0.000104291229025795,0.000116359240343639,-0.000134848877769355,-0.00010177871861417,-0.000266756674937933,0.000250053492350991
"V41",-0.00865182968665472,-0.00101134382885011,0.00157818464449377,0.00267632763132765,-0.00169868867581387,0.00095005033502148,0.00169967167995697,-0.000681687751113501
"V42",-7.70037165992975e-07,1.41625433822714e-06,4.55292845525411e-07,1.72256339272026e-06,1.48312622064055e-06,5.78548741198435e-06,3.15865963861492e-06,7.02695962071235e-06
"V43",3.89473571345164e-07,-7.19099799360797e-06,7.40217881304837e-07,-2.02236174806466e-06,6.14497062409355e-07,6.93087510998954e-06,-9.14849898003594e-06,1.38162859984543e-07
"V44",1.66409398161254e-05,3.87339910568404e-05,1.87659169310848e-05,6.37023957382984e-05,3.36554190409291e-05,-0.00017811791070617,-3.27163138075513e-05,-7.61739315953602e-05
"V45",-2.02381103987091e-07,1.9285303825244e-07,6.07980580989919e-07,-1.69560362086155e-08,-5.06307333612274e-07,3.53034249418968e-07,-2.17301686358628e-06,8.69417938376104e-07
"V46",0.000743475085513639,-0.00353524589193506,0.000471193812149109,0.000252185113019172,-0.005185243295298,-0.00938609419547079,0.0031538856250634,0.00985082825783809
"V47",-0.00474249657807685,0.00194132584409261,-0.000124611795923209,0.00226740835388639,0.00183213166142582,0.0045696105297574,-0.00204618744100944,0.00257700060246464
"V48",-0.0187919294301534,0.000960667664464029,-0.00650731683875585,0.00253960740326302,-0.000848949379223774,0.000557838617144599,-0.00474782535666579,-0.00111907586170938
"V49",0.00291193353828378,-0.00179583062028007,0.012402227634463,0.00308342541150381,0.00846117735652687,0.00456886062034505,-0.00519124733111761,-0.00775756972766737
"V50",-9.49079479251304e-06,-0.000584769287382584,0.00377164769709226,0.000600112067591409,-0.00350689802429015,-0.00295111305988059,-0.00492600461834176,-0.00117850553722854
"V51",-0.000418467964954795,-0.00339298165226597,0.00160962233016855,0.00135905485402705,-0.00215742383235477,-0.00171577635266756,-0.00291580362708874,-0.000625034088500559
"V52",-0.00169531367374896,-0.00643818525295913,0.0153366683436331,0.00511521560783085,0.000630969811444441,0.00848712314067568,-0.00107312995172411,0.00393322404661892
"V53",-0.00189755720505457,0.000201270507215089,0.00168043827454286,-0.00177166524741591,0.0140383168329818,0.00679597056671453,-0.00331479884846803,-0.00908450889254363
"V54",-0.00736545800033792,-0.00870293588515023,-0.0103271963945468,2.7359128058668e-05,-0.00329920875855987,0.0143852779358832,-0.0010004324886949,0.0175563526632864
"V55",0.00393526091849633,-0.000594670858434646,-0.0117118975425901,0.000979727819636669,-0.000231703333833176,-0.00450426244509228,-0.011250361849197,0.00142382196935888
"V56",0.00535317728605432,0.00617825215558473,-0.0053655201470548,0.00321383620985448,-0.00937997878079923,-0.0195812730642597,-0.0145249011349772,0.00526444414674425
"V57",0.00333662655682984,-0.00151954339556962,0.00480553638632173,0.0018183006408662,-0.0019258401931756,0.00555675638076991,-0.00113313643210551,-0.00285686736907059
"V58",-0.0154898658528968,0.0271292150174935,0.0308124161044961,-0.0661905006973113,-0.0529213566623866,-0.0105537653482487,-0.00531484256138203,-0.0239987045856045
"V59",0.00158245585518937,-0.0230092100442911,-0.0122021626742049,-0.0123399818789055,0.0226903285097877,-0.0140199770442233,-0.00774572197258001,-0.0112980514249609
"V60",-0.000590975947829026,0.000307567180588015,0.000220637313463185,-6.25864903870991e-06,-0.000342080185638623,-0.00020633663095036,-0.000431241672344216,0.000233534811403266
"V61",-0.000936429551308071,-0.00814617777355146,0.000101869433695124,-0.00377915468208005,-0.00521960824125273,-0.0178353681904466,0.00676706533938035,0.0140115719653254
"V62",-5.71646736773192e-06,-5.99829005780694e-05,-2.32321963131258e-05,-3.81342427891274e-06,3.23895448713805e-06,2.28274046064605e-05,-7.92675459046955e-05,9.84581327473002e-06
"V63",3.77560640437978e-05,9.44174942429571e-05,-0.000107961572232392,1.86363753379395e-05,4.6413261588112e-05,-8.95867372549313e-05,-0.00012359004727287,-6.00695278532745e-05
"V64",0.00301111174053665,-0.00965256483097854,0.0132149284563586,0.00130566329129081,0.00369666369601377,-0.0031220669211927,-0.0135640574970322,0.00561492561943998
"V65",0.010120446231937,0.00938893706042998,-0.022022854771412,0.00331731574018019,0.00834653719182776,-0.00946792087198667,-0.0050719092300025,-0.009462472466547
"V66",-0.00909081717245487,0.0340982482757455,0.0257989637354178,-0.0819765537717439,-0.0463057971420661,-0.0107323971457864,-0.00952193381741792,-0.0202183505582633
"V67",-0.000270416875573581,-0.00648810449806888,0.0016154854161617,0.000718864156110957,-0.00278318832521233,0.00377563945277843,0.00500621427165251,-0.0111652309475456
"V68",-4.57451063217601e-05,-6.40865907100216e-06,9.35242782173906e-06,6.93147027861374e-05,-7.69854025216397e-05,5.2778526252346e-05,-5.65308858967683e-05,-1.23429409211009e-05
"V69",-0.00745817751183272,0.00162522462776471,-8.22655002498339e-05,-0.0014433208018782,-0.00153840843571076,-0.000517633042545768,-0.00189556922783265,0.00150173537201992
"V70",0.00023393502934006,0.00119377769940266,-0.000240803620563576,-0.00114629986125451,-0.000543213425145621,-0.000615368506966094,-0.00105367672302465,-0.000402606655981215
"V71",-0.000787664529872936,0.00086762249065716,0.000755915993765207,0.00156929389032377,-0.00112665981572853,-0.00193017290385584,-0.00214311411996235,-0.00203870429976742
"V72",-0.000197199715735628,0.0105175880215126,0.000897324352763144,-0.0238333388274011,-0.00534115029872067,-0.00237382529976491,-0.00405486883942906,-0.00335221050030663
"V73",-0.000627620337301248,0.00049084224549815,-0.000864983407998445,-0.000252511772314488,-0.000112918479198522,0.000280628280092872,-0.0028641008593512,-0.000504359140277446
"V74",-2.92332590476798e-05,-0.00204453561856126,-0.00117128810863787,-0.000172321957562761,-0.00230814191095202,-0.00295609997535221,-0.00252711463707241,0.0046454928734542
"V75",1.40248317967683e-06,1.77707443001358e-05,-2.32292054976868e-05,5.92182761086082e-06,2.0761689378421e-06,-7.7414882038735e-06,3.56085314103263e-05,-1.96865671296209e-05
"V76",0.000153953783673049,-0.000978801674216049,-0.00166008688513665,-0.000536396852758653,0.000502629802215316,0.00521557996948055,-0.00236174788605007,0.00114721320889526
"V77",0.000140194282926139,-5.95197586451478e-05,5.34768259251512e-05,2.34112251939905e-05,-7.92045746028139e-05,0.000347204601001552,-9.92083393549568e-05,-9.53851871300948e-05
"V78",-6.42207884489418e-07,4.37282012081481e-07,3.35761220697198e-06,-1.42259855783425e-06,-1.2483405642895e-06,3.83819745704586e-06,4.86983693071811e-07,-5.05685766643547e-06
"V79",0.00257793314850389,-0.00380458504185671,0.00856376294876015,0.00333084338428631,0.00206157533919468,-0.00395647893355229,-0.00510462698670603,-0.00553989675040829
"V80",0.00653672850434243,0.000686378166758419,-0.00809895354386007,0.00559854199347755,-0.0095834909556431,0.0104358328399794,-0.00628639327558909,-0.00357487673306254
"V81",-0.00133249368724238,-0.00107420732069787,0.00521672439132025,-0.00194454584848248,0.00046601139604476,-0.0117914060102961,0.00365939166003843,-0.000113088501744449
"V82",-0.0138259414723837,-0.00149717998070504,0.00721770447165685,-0.00293552860694422,0.00110222616846823,0.00356613241048724,-0.00102393648703291,-0.00987800203990799
"V83",0.000570169778582911,0.00080262937874455,0.00184207918879386,0.0022936059034046,-0.00625978157737461,-0.00994639663407795,-0.0021231552353883,-0.00410134672520881
