"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","11","8","12","2","1","8","11","7","2","1","12","14","4","10","7","2","9","1","13","11","5","10","12","14","8","9","4","13","5","9","14","13","5","10","4","6","3","3","6","3","6","7"
"K","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"threshold","0.01","0.01","0.01","0.01","0.01","0.1","0.1","0.1","0.1","0.1","0.1","0.01","0.01","0.01","0.01","0.2","0.01","0.2","0.01","0.2","0.01","0.1","0.2","0.1","0.2","0.1","0.1","0.2","0.1","0.2","0.2","0.1","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.01","0.01","0.2"
"LL","-194453738.726973","-206569165.50771","-199116074.248739","-205597354.365391","-197559316.97567","-224951343.672156","-224308843.368927","-224623967.133749","-228120714.570813","-226908788.275333","-231871178.462912","-220377139.170833","-212390842.568413","-221444909.957139","-236047203.247275","-238328549.191497","-215302566.013731","-236878846.486365","-215858940.530342","-237452134.699556","-220213841.601481","-240741170.700408","-246515589.048644","-243035351.07273","-247536106.668732","-242488857.013275","-242699237.777237","-248610183.257602","-251448667.282626","-250545424.257949","-252920915.925289","-253015118.975301","-255108295.623371","-258745606.463637","-283035982.549076","17275297.1487407","14165310.7264422","17301201.3700601","16317416.3746506","13130029.1585977","-Inf","-Inf"
"BIC","-443416003.459662","-444185417.863014","-445159624.806479","-446404186.574005","-449624568.361142","-464294971.284306","-466797945.730224","-467427450.149928","-470065847.043243","-471997027.410977","-475105901.239109","-476721793.345779","-479287554.524506","-480370882.666374","-484215347.036401","-484990481.871811","-485111066.437263","-485878568.492461","-486226342.044281","-487025655.806928","-488299773.001029","-496063737.531659","-499471284.658797","-500842427.309676","-501322780.419909","-503157164.886861","-503577861.392665","-509341687.9009","-512934669.14642","-513211724.03563","-515122513.31312","-518151559.336298","-519118184.462283","-525256628.200097","-569102683.255076","-47422185337.1453","-47454759587.7892","-49569939069.6455","-49599379451.7681","-67961099530.0606","-Inf","-Inf"
"ICL","-443416003.511393","-444185418.684207","-445159624.806493","-446404187.663639","-449624569.730255","-464294971.317718","-466797947.835245","-467427451.49324","-470065849.337341","-471997028.860385","-475105901.757698","-476721793.358896","-479287555.777518","-480370883.985071","-484215347.539177","-484990482.746616","-485111066.439322","-485878569.017408","-486226342.490131","-487025656.703259","-488299773.011724","-496063737.582609","-499471291.260982","-500842428.382028","-501322780.649468","-503157165.29826","-503577861.39482","-509341690.538008","-512934669.705122","-513211727.10892","-515122513.315938","-518151561.234302","-519118186.47388","-525256629.574546","-569102685.22642","-47422185339.1672","-47454759589.8411","-49569939072.0956","-49599379453.6023","-67961099530.0853","-Inf","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","7","2","1","3","9","16","21","22","17","23","15","4","12","5","8","31","11","37","10","35","6","19","29","18","30","25","26","38","20","39","32","24","34","33","40","41","42","28","27","14","13","36"
"complexity","5868152","3342395","5052009","3790500","5867873","1549411","1957208","1957128","1488277","1957121","1223350","3872107","5867866","4035049","1304888","897136","5867873","1304881","5868145","1304936","5153702","1569770","693314","1590260","672909","1957121","1957114","1304929","1080576","1304881","999118","1304929","958307","835991","326274","305868","305862","387392","387402","876236",NA,NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals","pop<min.individuals"
