"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","8","2","1","7","11","2","11","1","12","7","2","12","8","14","5","13","4","13","4","9","9","5","9","14","10","10","7","14","5","3","6","3","6","3","12","10","1","13","4","8","11","6"
"K","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"threshold","0.01","0.01","0.1","0.01","0.1","0.1","0.01","0.2","0.1","0.2","0.2","0.2","0.2","0.01","0.01","0.1","0.1","0.2","0.2","0.1","0.2","0.1","0.01","0.1","0.1","0.2","0.1","0.2","0.2","0.2","0.1","0.1","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.1","0.2","0.2"
"LL","-193441839.084897","-193865755.322859","-218947509.388041","-221029982.888311","-221192756.811288","-222974897.141837","-221673333.233549","-221943512.938736","-223308561.664082","-222380613.462852","-228799798.580399","-228375073.449135","-234142175.449733","-213385051.310509","-210120378.752692","-226513190.672769","-227788549.247","-236748215.370846","-237204144.994886","-237231550.776403","-237317741.192762","-238791789.777383","-199743199.137156","-242510233.492468","-243136985.446513","-248454769.714457","-254006074.213341","-251692838.721559","-255521178.296222","28031100.832606","26687522.1990546","28208617.7049487","24125350.3539709","24605048.5795337","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"BIC","-448409800.049117","-449445490.717867","-460621652.247814","-464786729.292593","-465113113.13723","-465267726.727516","-466074265.981753","-466613659.349204","-467071744.602808","-467487990.441676","-471804775.306782","-471902836.662086","-481542797.693053","-483756491.566069","-486307559.784155","-487114236.911993","-489663430.685078","-496223900.212107","-497134793.417265","-497189735.024538","-497362115.857255","-498794742.481545","-501685017.164924","-502256028.88837","-503130305.216344","-509789000.153115","-513694988.803862","-515697448.617554","-522028001.634632","-47455266627.6375","-49525168623.4692","-49540986002.2817","-67943406880.5","-67958342997.9292","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"ICL","-448409801.381178","-449445492.568673","-460621652.448788","-464786729.963147","-465113114.52719","-465267728.059459","-466074267.738503","-466613662.952883","-467071746.445763","-467487992.823812","-471804777.702884","-471902839.128172","-481542798.924313","-483756491.936783","-486307562.898511","-487114237.39946","-489663432.57914","-496223901.725686","-497134795.527057","-497189736.729498","-497362117.56193","-498794745.701558","-501685018.482299","-502256031.094203","-503130306.809677","-509789003.859528","-513694993.424635","-515697450.057613","-522028002.057656","-47455266629.6607","-49525168626.2248","-49540986003.6197","-67943406881.7503","-67958342998.234","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","2","3","23","8","21","17","7","37","15","36","31","29","30","4","6","24","26","38","40","25","39","20","11","18","19","33","22","32","34","42","27","28","13","14","1","5","9","10","12","16","35","41"
"complexity","6623636","6643860","2446651","2446665","2446755","2079685","2446755","2446651","2202056","2446665","1529268","1631273","1427347","6134908","7112466","3669751","3669587","2446741","2446637","2446651","2446651","2283502","11002261","1855506","1814680","1386547","611790","1325432","1182667","448613","530153","530143","1019021","1018987",NA,NA,NA,NA,NA,NA,NA,NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals"
