"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","12","8","2","12","2","1","8","7","11","10","11","1","7","14","2","12","9","13","8","9","5","5","14","9","13","13","4","4","10","5","4","14","6","3","3","6","3","6","1","10","7","11"
"K","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11"
"threshold","0.01","0.01","0.01","0.1","0.1","0.1","0.1","0.2","0.1","0.01","0.01","0.2","0.01","0.01","0.2","0.2","0.01","0.01","0.2","0.1","0.01","0.1","0.1","0.2","0.1","0.2","0.1","0.01","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.01","0.01","0.01","0.1","0.1","0.2"
"LL","-198619544.679095","-201063542.101094","-195825025.309713","-225200002.027366","-226336555.116795","-226660364.771747","-226502829.270431","-227391332.735204","-227813160.377538","-218941586.599438","-230514902.659695","-230838525.993468","-231894829.408968","-216837108.16974","-238637262.69636","-239475471.883875","-206753669.913392","-207457189.523683","-240494931.930279","-233256145.751175","-215747384.422025","-241276898.769791","-241926453.302384","-242553162.530906","-242654347.765001","-243362789.080878","-245750220.720494","-247587405.980405","-250630962.221919","-252083222.051692","-249487013.104842","-254643527.425471","22696433.5351315","21470670.5844134","21463481.6221457","19726144.8507291","19361790.1705876","17160308.3420955","-Inf","-Inf","-Inf","-Inf"
"BIC","-443052253.734457","-445481762.230805","-445771564.968405","-465172639.528625","-468202956.158566","-469986929.899797","-470050204.034227","-471448958.715453","-472293227.065822","-477448891.554446","-477696711.630137","-478343252.343239","-480455952.062982","-481946703.062078","-487123425.87086","-488421582.708698","-488452996.156932","-489863509.416484","-489892172.319416","-491509032.95195","-495449857.028658","-498651639.547174","-499761794.332373","-501772525.418116","-501975508.952006","-503392391.58376","-508166548.908548","-511840919.42837","-513383329.429403","-514772703.654594","-515640133.677245","-518946936.026977","-47444389022.9724","-47458541758.486","-49531703529.1649","-49577691679.9307","-67952905159.9314","-67959751598.4702","-Inf","-Inf","-Inf","-Inf"
"ICL","-443052255.447746","-445481763.130154","-445771564.968405","-465172641.944188","-468202958.712769","-469986933.075682","-470050205.02062","-471448959.212429","-472293230.641601","-477448893.223793","-477696713.800056","-478343254.165246","-480455952.635092","-481946705.154384","-487123429.152228","-488421585.330561","-488452998.210042","-489863510.073099","-489892173.410104","-491509033.564596","-495449857.03588","-498651640.597165","-499761796.157779","-501772528.270845","-501975510.078609","-503392392.001064","-508166549.533974","-511840920.057507","-513383331.746702","-514772705.765474","-515640137.735754","-518946937.826655","-47444389024.3784","-47458541759.3261","-49531703534.4998","-49577691686.3465","-67952905161.8215","-67959751599.5688","-Inf","-Inf","-Inf","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","1","2","3","15","17","23","16","36","21","5","7","37","8","4","31","29","11","10","30","25","6","20","18","39","24","38","26","12","33","34","40","32","41","42","28","27","14","13","9","19","22","35"
"complexity","4932047","4667377","5826488","1590358","1671876","1794211","1834942","1794221","1794287","4259474","1794287","1794211","1794221","5196807","1060290","1019568","8068325","8068699","958384","2691041","6885128","1733024","1712682","1794211","1794277","1794277","1794201","1794201","1304938","1141824","1794201","1039941","367047","367041","448571","448581","937415","937449",NA,NA,NA,NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals"
