"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","2","12","8","11","8","1","2","1","12","7","2","14","8","12","10","4","13","5","14","10","5","13","9","4","13","9","4","9","14","5","7","10","3","6","3","6","6","3","7","11","11","1"
"K","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12"
"threshold","0.01","0.01","0.01","0.01","0.1","0.01","0.1","0.1","0.1","0.1","0.2","0.01","0.2","0.2","0.01","0.01","0.1","0.01","0.1","0.1","0.1","0.01","0.2","0.1","0.2","0.1","0.2","0.01","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.01","0.01","0.01","0.1","0.2","0.2"
"LL","-196423009.007429","-196784194.164902","-198117153.591397","-185616688.200163","-222277139.843546","-222368887.635768","-225495956.362117","-224534557.611417","-226981567.42197","-226510344.265033","-234121180.92185","-217506106.082242","-235103060.494888","-235945046.300734","-214601349.063743","-203980569.01333","-233066621.094179","-221712869.817711","-239944922.544948","-240012217.667763","-241747870.631283","-241745870.741031","-241751577.7731","-241833576.223446","-241949258.132902","-242234528.754533","-243424106.587745","-243641421.822159","-246428973.267898","-250534814.327169","-257945103.23102","-255939067.706376","24013941.6872126","22599424.9447681","24628747.4443174","21235887.2023934","17992850.769053","20424969.1616158","-Inf","-Inf","-Inf","-Inf"
"BIC","-444716485.15593","-446387398.153752","-449428030.193973","-452996165.408901","-462734919.523308","-462919083.906697","-466900726.140845","-467250423.857995","-470630254.798794","-471202099.342843","-479606463.48944","-479882370.026928","-480812919.295693","-483065239.967223","-489205621.118482","-489719932.819308","-493403528.499296","-495085442.21977","-496745492.036522","-498394865.450408","-501108468.616032","-501673718.916168","-501684464.181361","-501848358.904435","-502080493.69991","-502650366.144227","-505029419.633034","-505464152.279479","-505737342.237879","-512812307.658996","-520436478.763785","-521727147.357383","-47456230241.1937","-47460714675.516","-49584705460.5798","-49585141636.6085","-67799997184.5559","-67898596510.6349","-Inf","-Inf","-Inf","-Inf"
"ICL","-444716485.761645","-446387399.366196","-449428031.602771","-452996166.670791","-462734923.184387","-462919085.404635","-466900727.298189","-467250429.043094","-470630255.253735","-471202100.659483","-479606465.991626","-479882372.433221","-480812920.418437","-483065244.963463","-489205622.375011","-489719932.996118","-493403528.621455","-495085442.450694","-496745494.652748","-498394866.234191","-501108469.799568","-501673719.149397","-501684464.440324","-501848360.769454","-502080495.703537","-502650367.620658","-505029421.715356","-505464153.577033","-505737343.351587","-512812309.424323","-520436480.166681","-521727150.806723","-47456230244.107","-47460714677.6665","-49584705462.8832","-49585141637.2795","-67799997194.8076","-67898596515.7778","-Inf","-Inf","-Inf","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","3","1","2","7","16","9","17","23","15","22","31","4","30","29","5","12","24","6","18","19","20","10","39","26","38","25","40","11","32","34","36","33","42","41","28","27","13","14","8","21","35","37"
"complexity","5584150","5686266","5726606","8802228","1957249","1957321","1712674","1957321","1794310","1957332","1223410","4830527","1141882","1203068","6459655","8801798","2935801","5561460","1814606","1977681","1896110","1957393","1957321","1957310","1957393","1957321","1957310","1957321","1386540","1264166","489432","1060302","387434","387440","468964","468974","957842","957808",NA,NA,NA,NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals"
