"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","12","8","11","2","7","7","8","2","12","1","7","8","11","11","1","10","14","2","5","4","12","4","5","10","13","13","14","13","4","9","9","5","14","10","3","6","6","3","6","3","1","9"
"K","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"threshold","0.01","0.01","0.01","0.01","0.01","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.1","0.2","0.1","0.01","0.01","0.2","0.01","0.01","0.2","0.1","0.1","0.1","0.01","0.2","0.1","0.1","0.2","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.01","0.01","0.01","0.01"
"LL","-201447726.246791","-200564614.215802","-189301607.07481","-204249964.566065","-191748406.253722","-217835235.542319","-226852090.198449","-229782493.16324","-230353277.722661","-229514225.167672","-230019190.737164","-232339577.776745","-230785324.135279","-231001231.422459","-231287125.970705","-218696482.019973","-223197708.904044","-235602594.604668","-219238465.663301","-208691383.542109","-239125990.313606","-235226787.902565","-242176717.201275","-245050045.112245","-245520975.980415","-245524578.892646","-247048874.493045","-246465028.420081","-246783266.943545","-247078213.142359","-247199679.918728","-254180140.527631","-255200436.086979","-267582505.560786","20848352.1094821","22527998.1752075","20011209.7519522","20479335.4762075","14447837.424968","17496015.6308327","-Inf","-Inf"
"BIC","-441138453.733752","-443912176.250156","-446738871.656766","-446743209.038528","-451629311.797344","-458394865.937675","-468855244.607721","-471875652.12488","-473396263.046352","-474179542.412791","-475189557.151643","-476042885.644261","-476722381.280327","-477154195.854688","-477725344.018855","-477904187.616511","-480287240.972379","-480864670.963778","-483907904.971867","-485515099.174383","-487533033.644724","-493177803.458432","-499314531.846094","-503546646.010507","-506193601.370731","-506200807.195194","-506598047.152296","-508081706.250064","-508717542.364668","-509307518.362163","-509550451.914902","-517830241.908389","-519871204.582054","-542741332.781295","-47435331483.334","-47449973722.0508","-49559721571.1793","-49592805422.1989","-67813016084.4248","-67836322146.3771","-Inf","-Inf"
"ICL","-441138453.819616","-443912178.162227","-446738871.815689","-446743209.18522","-451629312.772929","-458394867.176316","-468855246.100818","-471875655.244515","-473396265.586962","-474179542.757514","-475189560.891739","-476042886.410162","-476722382.138449","-477154196.422513","-477725346.530399","-477904187.833594","-480287241.815273","-480864671.377338","-483907905.290336","-485515099.548592","-487533035.609595","-493177804.083056","-499314533.868804","-503546647.387387","-506193603.21265","-506200807.544816","-506598050.58581","-508081707.448196","-508717543.001366","-509307521.590344","-509550453.521044","-517830244.121082","-519871208.034493","-542741335.675988","-47435331487.6414","-47449973727.5141","-49559721577.7838","-49592805424.6686","-67813016102.1591","-67836322150.5671","-Inf","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","1","2","7","3","8","22","16","17","15","37","36","30","21","35","23","5","4","31","6","12","29","26","20","19","10","38","18","24","40","25","39","34","32","33","42","41","27","28","13","14","9","11"
"complexity","4117076","4605827","7335190","4117106","7334850","2446410","1631098","1325313","1366119","1631101","1631110","1223370","1631170","1631170","1631101","4361263","3648647","1039898","4890902","7334832","999158","2446392","1610647","1447598","1631161","1631161","1345728","1631161","1631092","1631101","1631101","1019495","1019535","815634","346648","346654","428188","428178","917056","917022",NA,NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals","pop<min.individuals"
