"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model",7,8,1,11,12,2,13,9,11,7,10,5,14,1,2,7,8,9,1,4,13,12,5,14,2,8,4,13,10,9,4,12,11,14,5,10,3,6,6,3,6,3
"K",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"threshold",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.01,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.01,0.01
"LL",-212005932.769599,-215407090.185883,-216269289.383491,-219587972.910226,-226300173.762518,-229410029.658607,-231582233.385399,-233720043.21169,-240674777.842994,-240684991.473435,-236754377.950061,-245231162.480633,-237185280.800479,-250692303.80117,-252690494.115562,-252956760.795411,-255561492.032268,-255661776.047824,-257715133.364796,-259933732.2323,-260257904.956236,-262037347.954872,-262625904.707902,-263687622.914122,-265806168.946456,-265845782.640771,-266706933.866837,-266707714.836374,-267354610.043481,-269282270.189605,-270117594.170186,-273098792.139753,-277049858.479372,-279898875.954743,-279907159.282433,-281027263.698955,4331974.68411963,5218416.96127344,3764912.66966324,4752515.53366759,4060829.56779172,4138875.70894782
"BIC",-444451615.326169,-449361897.940577,-452978309.976203,-459616643.072595,-466041766.563592,-470936206.799953,-483605145.445193,-487879817.632601,-488167152.808127,-488187301.402782,-489408856.352687,-504849100.59883,-505003271.768275,-505929941.727786,-510115629.613776,-510458874.294016,-515100284.951869,-518140851.973812,-519975600.855038,-526684745.765015,-527333388.456862,-528052136.13019,-530365028.157375,-532110045.12176,-534453386.526533,-534532632.492912,-537959183.281372,-537960930.99793,-538875828.231502,-543109874.504656,-544780503.888068,-548470534.652893,-558645236.861675,-562260121.006572,-562276604.062084,-564706222.329952,-47444724703.5267,-47456701935.881,-49555005207.4127,-49567332481.5656,-67930401813.4831,-67935802499.4109
"ICL",-444451616.493249,-449361899.459208,-452978311.054758,-459616643.952669,-466041767.551763,-470936208.049902,-483605146.639147,-487879818.555262,-488167153.005822,-488187301.579741,-489408857.719829,-504849100.59883,-505003273.06722,-505929942.143922,-510115630.61332,-510458874.804604,-515100288.158939,-518140852.213812,-519975603.780376,-526684745.902941,-527333388.760575,-528052136.756747,-530365028.863717,-532110045.788072,-534453387.538523,-534532633.40203,-537959183.361974,-537960931.129851,-538875830.428104,-543109875.615215,-544780505.944875,-548470536.688169,-558645236.861679,-562260121.006572,-562276604.101087,-564706222.329952,-47444724710.9438,-47456701939.5949,-49555005211.2795,-49567332484.438,-67930401818.4375,-67935802501.4976
"rank",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
"originalOrder",8,2,9,7,1,3,10,11,21,22,5,6,4,37,17,36,16,25,23,26,24,15,20,18,31,30,40,38,19,39,12,29,35,32,34,33,42,41,27,28,13,14
"complexity",2200455,1996767,2200453,2200557,1447045,1304372,2200555,2200453,733953,733923,1711736,1548818,3297785,489331,509711,489333,428179,733921,489331,733919,733951,428194,550467,509728,305855,305857,489329,489349,448559,489331,489329,244696,489351,265088,265079,285470,203897,203903,285437,285427,774305,774271
1
