"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","2","8","12","11","1","12","11","1","10","9","7","5","7","11","1","2","8","2","14","8","12","4","10","14","9","13","9","4","5","13","10","4","5","14","13","3","6","3","6","3","7","6"
"K","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"threshold","0.01","0.01","0.01","0.1","0.1","0.1","0.01","0.2","0.01","0.01","0.01","0.01","0.2","0.2","0.01","0.1","0.2","0.2","0.01","0.1","0.2","0.1","0.1","0.1","0.2","0.2","0.1","0.2","0.1","0.01","0.2","0.01","0.2","0.2","0.1","0.2","0.1","0.1","0.01","0.01","0.1","0.2"
"LL","-199980401.376737","-199524819.507783","-201804860.59568","-223397478.634054","-223501235.705545","-230288720.380099","-230815087.995417","-232176931.232869","-218552572.243528","-209190505.072591","-233224563.929183","-221097957.413987","-234955614.675987","-234998234.425891","-235631816.292927","-237469524.133061","-240282442.843542","-241095917.011314","-215850539.312541","-241767757.037401","-242677022.960859","-237931139.326537","-242890898.460833","-247483006.095974","-247687874.172451","-247962741.078743","-249214252.991448","-249548445.334721","-250019263.992348","-250393781.381528","-252950720.778149","-253564051.144045","-257725968.264331","-259466518.376305","-281353565.971746","17748417.5857772","19027757.6138598","17385679.9866824","14755975.5059592","14018848.1028069","-Inf","-Inf"
"BIC","-440471868.419176","-441451129.924182","-447526942.733409","-467247748.634525","-467454352.46783","-471941161.562094","-475266735.699626","-477989846.264327","-478560359.198114","-479700185.1951","-480085185.967949","-481190878.305275","-483547287.461557","-483633028.560575","-484899616.384442","-485545168.484219","-488519924.038838","-490146760.907891","-490923373.913012","-493194995.829244","-493687884.565372","-496314085.39882","-499985405.247901","-507087259.266651","-509011732.143492","-509561967.555285","-512064489.781486","-512732800.157037","-514242164.177555","-514424048.160855","-515750184.123576","-520764011.775684","-524353715.521687","-526698870.024774","-566116761.858806","-47468170346.938","-49580109616.24","-49585268791.3184","-67954632733.0562","-67969179757.9045","-Inf","-Inf"
"ICL","-440471870.026681","-441451132.420748","-447526943.604524","-467247751.346793","-467454353.929509","-471941163.797388","-475266736.610573","-477989848.06848","-478560362.369855","-479700185.817447","-480085187.373134","-481190880.022942","-483547287.63903","-483633029.42871","-484899616.736573","-485545169.783909","-488519925.152803","-490146762.8111","-490923374.534668","-493194999.674224","-493687885.912315","-496314085.945296","-499985405.284896","-507087261.989612","-509011733.146839","-509561970.823798","-512064492.981084","-512732803.426371","-514242166.576495","-514424050.225893","-515750186.875465","-520764013.787919","-524353717.166607","-526698870.868003","-566116764.735074","-47468170349.0418","-49580109617.4176","-49585268794.8487","-67954632735.1815","-67969179759.0369","-Inf","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","3","2","1","21","23","15","7","37","5","11","8","6","36","35","9","17","30","31","4","16","29","26","19","18","39","38","25","40","20","10","33","12","34","32","24","42","27","28","13","14","22","41"
"complexity","4361246","4564761","4727938","2201859","2201761","1223369","1468053","1467991","4462889","6601357","1467999","4198029","1467999","1468053","1467991","1141809","856405","856393","6375616","1039898","897185","2201753","1529099","1304921","1467991","1468045","1467991","1467983","1529102","1468045","1060273","1467983","958327","836036","367066","326255","407795","407785","896663","896629",NA,NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals","pop<min.individuals"
