"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","2","8","12","7","11","7","7","1","1","1","11","2","11","12","5","8","12","4","14","10","9","13","10","9","4","13","13","9","10","5","4","3","6","3","6","3","6","8","14","5","2","14"
"K","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13"
"threshold","0.01","0.01","0.01","0.1","0.01","0.01","0.2","0.2","0.1","0.01","0.1","0.1","0.2","0.1","0.01","0.2","0.2","0.1","0.01","0.01","0.1","0.01","0.1","0.01","0.01","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.01","0.01","0.1","0.1","0.1","0.2","0.2"
"LL","-195283217.047341","-199046877.360081","-195549089.330142","-212090388.298509","-183691827.204205","-184886567.271173","-221909192.440821","-222218411.933619","-222302650.249902","-223359288.284645","-223482742.388846","-225212730.386449","-225251892.270508","-227091830.402586","-216832154.473344","-235326942.728693","-238206807.496024","-231252652.435647","-216321002.391","-216733814.875499","-239591727.169135","-239650869.303445","-240799357.029166","-240362791.675452","-240403000.87714","-241320223.886236","-241904309.114977","-242567927.109148","-249178343.927161","-252990103.878688","-276668216.126675","25798274.9298399","24595664.4795636","24038713.1555912","25413789.0972703","20593839.8217296","20936809.2414719","-Inf","-Inf","-Inf","-Inf","-Inf"
"BIC","-440925415.617855","-443153461.350545","-445242757.284025","-453722489.905968","-455960009.1677","-458345383.619217","-463514913.262152","-464133240.781256","-464301717.413822","-466414993.483309","-466662737.690393","-467281302.785881","-470201037.453716","-470850864.359894","-481183040.679426","-482965006.410625","-487778283.259117","-492046795.247261","-492067447.749771","-497252573.625976","-498879871.252288","-498998880.0531","-499969255.639705","-500422000.264922","-500502307.201807","-502337589.218681","-503505759.676164","-504832271.132314","-510667650.896699","-517154918.54604","-558261337.647258","-47438947787.5781","-47451568319.6605","-49553096115.2795","-49576608515.7764","-67949949671.2902","-67959400946.3723","-Inf","-Inf","-Inf","-Inf","-Inf"
"ICL","-440925415.621308","-443153462.269545","-445242758.822574","-453722491.390189","-455960010.224801","-458345385.173356","-463514915.091344","-464133241.626796","-464301717.934422","-466414993.514243","-466662739.337814","-467281303.221912","-470201037.630134","-470850866.172064","-481183042.249236","-482965006.813385","-487778283.868643","-492046797.529494","-492067448.874895","-497252573.625976","-498879871.476927","-498998881.457248","-499969259.263943","-500422001.186624","-500502307.231396","-502337592.006077","-503505762.057737","-504832273.198971","-510667651.094731","-517154922.137612","-558261341.334548","-47438947790.5875","-47451568319.7662","-49553096119.075","-49576608516.2301","-67949949674.0103","-67959400947.6135","-Inf","-Inf","-Inf","-Inf","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","3","2","1","22","7","8","36","37","23","9","21","17","35","15","6","30","29","26","4","5","25","10","19","11","12","24","38","39","33","34","40","42","41","28","27","14","13","16","18","20","31","32"
"complexity","5421430","4850933","5828971","3180333","9535747","9535305","2120443","2120431","2120431","2120431","2120521","1814627","2120521","1794319","5115661","1325362","1223471","3180309","6397486","6866811","2120431","2120509","1977693","2120431","2120419","2120509","2120509","2120431","1325345","1203021","530194","407827","407833","489357","489367","978201","978235",NA,NA,NA,NA,NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals"
