"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","12","8","1","7","11","2","1","2","7","11","8","14","4","1","5","10","13","9","11","12","8","12","2","4","5","13","4","10","14","13","10","9","14","5","3","6","3","6","3","6","9","7"
"K","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"threshold","0.01","0.01","0.01","0.01","0.01","0.01","0.1","0.1","0.1","0.1","0.1","0.01","0.01","0.2","0.01","0.01","0.01","0.01","0.2","0.2","0.2","0.1","0.2","0.1","0.1","0.1","0.2","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.01","0.01","0.1","0.2"
"LL","-202416626.172417","-201108161.379966","-197580280.504574","-199945824.648313","-200399172.632191","-211581500.883345","-225143377.19741","-228456268.005228","-228946035.915905","-228983089.167082","-231144138.039336","-221607075.123299","-215222888.806419","-233898205.360026","-224495354.350669","-228036981.802258","-216979259.727813","-218163010.22804","-237947131.059102","-242770546.966568","-244011424.130057","-245348369.440793","-246799534.039995","-242776401.82809","-247860651.716421","-246107702.610053","-252249532.814818","-252900957.330968","-253641167.656158","-254465703.57614","-255804961.025836","-255394356.580401","-259196950.264404","-268836317.55782","11372033.1060026","14032285.9070914","12961152.582384","12227606.4383671","11003433.4213119","11525309.1290495","-Inf","-Inf"
"BIC","-439283754.850869","-441207542.82091","-442853254.778832","-447584398.799557","-448493305.519384","-449476236.785941","-466193775.058702","-468843212.541052","-473799148.228936","-473873904.952489","-475165600.361796","-476716602.380092","-478138415.649277","-478402177.960927","-480982130.371771","-481064100.664524","-481653423.977382","-484018714.225765","-486500475.225042","-492738522.412217","-494841262.803188","-498462302.776396","-499660030.661251","-501459768.586815","-508030622.344477","-508123076.105185","-515104777.137265","-516028361.433953","-516562784.553002","-519537564.525873","-520321864.321657","-521394480.401676","-525591254.696895","-543354815.98275","-47415923481.7951","-47443952897.6217","-49590885234.7868","-49595877472.8003","-67784147430.1415","-67933360783.9364","-Inf","-Inf"
"ICL","-439283755.097872","-441207544.261687","-442853255.530187","-447584399.61463","-448493305.55251","-449476236.919115","-466193776.709482","-468843212.84092","-473799151.438585","-473873905.18334","-475165600.520135","-476716603.351769","-478138416.129202","-478402180.099217","-480982131.592146","-481064100.80967","-481653427.826746","-484018715.912391","-486500477.276436","-492738525.469571","-494841265.569692","-498462302.82912","-499660033.52293","-501459768.837985","-508030626.249485","-508123076.657606","-515104777.858654","-516028363.222261","-516562788.469443","-519537565.580381","-520321871.415069","-521394481.595256","-525591255.978236","-543354817.181417","-47415923483.4529","-47443952900.5962","-49590885236.7925","-49595877474.1722","-67784147438.6865","-67933360784.6318","-Inf","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","1","2","9","8","7","3","23","17","22","21","16","4","12","37","6","5","10","11","35","29","30","15","31","26","20","24","40","19","18","38","33","39","32","34","42","41","28","27","14","13","25","36"
"complexity","3708792","4197626","5134389","5134395","5134633","2832769","1712481","1284405","1712487","1712557","1386317","3606729","5134383","1141771","3444058","2690330","5134627","5134389","1141819","774844","734041","836007","652497","1712475","1325168","1712551","1141765","1100935","999093","1141813","937890","1141771","774836","611719","285469","285475","366999","367009","855843","855877",NA,NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals","pop<min.individuals"
