"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","2","12","7","8","1","5","2","1","4","10","7","13","11","1","7","14","8","11","11","8","2","13","12","9","5","12","14","13","4","9","9","4","10","14","10","5","6","3","6","3","6","3"
"K","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"threshold","0.01","0.01","0.01","0.01","0.1","0.01","0.1","0.2","0.01","0.01","0.1","0.01","0.01","0.01","0.2","0.01","0.1","0.2","0.1","0.2","0.2","0.1","0.1","0.1","0.1","0.2","0.1","0.2","0.2","0.2","0.01","0.1","0.1","0.2","0.2","0.2","0.2","0.1","0.1","0.01","0.01","0.2"
"LL","-200130727.750707","-202799573.579648","-196960481.338223","-208881081.557176","-225092659.636245","-218005863.056595","-233107019.811722","-233819523.259469","-213030883.091384","-224644100.34344","-234611371.526246","-214236677.926169","-236167857.612695","-236306190.45815","-236333980.789102","-225369171.221821","-238405754.927954","-237424534.3935","-239291677.942657","-242694341.002009","-243111385.46681","-239972607.378054","-245265126.977627","-241340873.691369","-245028395.857269","-248298256.848359","-246387042.900587","-248942004.785092","-249721310.843868","-250107035.111026","-250444704.764233","-251771438.513216","-254764131.965344","-263578091.728258","-265089471.293588","-265983868.848063","16480127.7885559","15303430.5450669","17915862.8528968","14231239.3184055","14302206.2170879","-Inf"
"BIC","-437550368.600783","-442325052.30152","-448426962.108367","-450511854.167531","-468364770.132801","-474624229.482137","-476630081.607769","-479759922.03867","-480567635.570448","-481091578.387004","-481343683.594343","-482981816.835936","-484457101.633205","-484733256.436032","-484788902.120055","-485003002.442564","-486849327.458537","-486970455.194816","-490704742.29313","-492964845.752879","-493988176.917568","-498125408.726359","-499621702.471583","-500861198.243048","-503313129.933671","-503604737.096207","-505652552.615831","-510005330.95588","-511563432.185348","-512334945.741785","-513010285.048198","-515663687.524044","-518808601.704882","-533596150.68491","-536050635.066727","-537649992.87423","-47407013474.5722","-49568576617.1312","-49589174716.75","-67894038916.2795","-67918912140.0145","-Inf"
"ICL","-437550369.440711","-442325052.82667","-448426963.415443","-450511855.049511","-468364772.401603","-474624229.621058","-476630081.846613","-479759923.067337","-480567638.030634","-481091578.443929","-481343685.945692","-482981816.973275","-484457101.82052","-484733258.17287","-484788902.667132","-485003004.667364","-486849330.53242","-486970456.788748","-490704742.823795","-492964848.209941","-493988177.721472","-498125408.73365","-499621703.757877","-500861198.253905","-503313131.881353","-503604738.084578","-505652552.792858","-510005333.676531","-511563434.780086","-512334946.859096","-513010286.862186","-515663687.618629","-518808604.048586","-533596153.528335","-536050635.764439","-537649993.101584","-47407013475.632","-49568576619.1037","-49589174717.3739","-67894038920.4858","-67918912144.1968","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","3","1","8","2","23","6","17","37","12","5","22","10","7","9","36","4","16","35","21","30","31","24","15","25","20","29","18","38","40","39","11","26","19","32","33","34","41","28","27","14","13","42"
"complexity","4014363","3953752","5867880","3525690","1957121","4156855","1121346","1304881","5867866","3423814","1304888","5868145","1304936","1304881","1304888","3688785","1080628","1304936","1304936","815617","835990","1957201","978746","1957121","1427120","754475","1386440","1304929","1304874","1304881","1304881","1304874","999081","693299","632121","611727","305868","387392","387402","876236","876270",NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals"
