"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","8","2","12","1","11","7","8","7","11","2","11","1","14","10","7","13","8","2","5","12","4","4","9","13","10","5","4","9","9","14","10","5","14","1","3","6","6","3","3","6","12","13"
"K","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"threshold","0.01","0.01","0.01","0.1","0.1","0.01","0.1","0.1","0.2","0.1","0.01","0.2","0.01","0.01","0.2","0.01","0.2","0.2","0.01","0.2","0.1","0.01","0.1","0.1","0.1","0.1","0.2","0.01","0.2","0.1","0.2","0.2","0.2","0.01","0.2","0.2","0.1","0.1","0.01","0.01","0.1","0.2"
"LL","-200249201.50405","-197307377.119828","-202767623.364718","-218214929.475531","-227785178.516771","-228672143.44134","-230061586.669939","-228940107.788782","-230063199.290343","-230687792.003027","-230809318.471132","-231488766.805625","-219470044.519005","-222623663.409979","-235200652.151812","-208932829.406032","-238936002.938959","-239123838.128176","-223190523.229607","-239750590.447919","-234534144.558536","-211975844.020263","-235209241.517557","-236072036.262325","-239765809.549207","-243372105.176985","-244315024.20832","-246567911.688415","-246705919.078912","-248827798.15412","-252785979.282853","-254395105.205827","-256307086.852921","-265224954.601949","19635431.7337081","20312023.4616459","18154715.338651","19260808.3327771","17115975.9894613","14741391.9276664","-Inf","-Inf"
"BIC","-441578495.821461","-443071262.850013","-443590993.553608","-459154170.204231","-470722090.043311","-472495462.559994","-472812147.119844","-473031391.254879","-475278131.590456","-475579647.487129","-476770369.952033","-478128625.688697","-480211671.994026","-481597041.843946","-485552479.980938","-486001232.719342","-486584746.991089","-487338836.817578","-487647186.134921","-487835316.783468","-491792516.770373","-492084020.13069","-493142794.288283","-494869312.665246","-495628662.26282","-501326749.016345","-503781056.894218","-508286915.454276","-508562930.23527","-509398498.245881","-515799538.580381","-518260264.153523","-521137598.272932","-534238385.855484","-47421907253.5714","-47463313643.061","-49547102919.7375","-49566670501.4262","-67867787628.4916","-67961883797.8356","-Inf","-Inf"
"ICL","-441578497.122861","-443071263.597101","-443590993.556628","-459154173.019653","-470722091.188756","-472495464.069531","-472812147.847394","-473031392.56051","-475278133.251112","-475579648.409142","-476770372.374834","-478128627.267389","-480211672.821341","-481597043.396628","-485552482.048756","-486001233.144124","-486584749.371574","-487338841.017469","-487647187.704096","-487835317.134616","-491792517.589269","-492084021.68306","-493142794.574461","-494869313.340868","-495628662.527669","-501326751.106144","-503781058.700218","-508286916.972564","-508562930.790521","-509398499.599014","-515799539.081273","-518260265.651454","-521137600.645644","-534238393.40651","-47421907260.397","-47463313644.4944","-49547102921.3256","-49566670508.9868","-67867787632.5731","-67961883803.0963","-Inf","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","2","3","1","23","21","8","16","22","35","17","7","37","4","5","36","10","30","31","6","29","26","12","25","24","19","20","40","11","39","18","33","34","32","9","42","41","27","28","14","13","15","38"
"complexity","4422505","5216618","4096917","2446401","1631170","1631110","1366040","1631110","1631170","1529148","1631170","1631101","4443120","3913253","1631110","7335181","937976","978715","4442534","897217","2446392","7334832","2446401","2446501","1732938","1569893","1631092","1631101","1631101","1264190","1101057","1019505","917595","407851","346648","346654","428188","428178","917022","917056",NA,NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals","pop<min.individuals"
