"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","2","8","12","11","7","1","12","11","1","7","1","8","2","7","12","5","14","2","4","9","10","4","4","9","13","13","14","13","9","10","5","5","14","10","3","6","6","3","8","11","6","3"
"K","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13"
"threshold","0.01","0.01","0.01","0.1","0.2","0.1","0.1","0.01","0.2","0.1","0.01","0.1","0.1","0.01","0.2","0.01","0.01","0.2","0.01","0.01","0.1","0.2","0.1","0.1","0.2","0.01","0.1","0.1","0.2","0.01","0.1","0.2","0.2","0.2","0.1","0.1","0.01","0.01","0.2","0.2","0.2","0.2"
"LL","-197398605.165192","-197009178.554169","-195750902.169692","-212596629.006419","-220749536.066186","-222440305.428133","-223401453.57216","-222473560.250545","-223153240.963977","-224151359.795539","-224373823.674868","-225143090.099464","-225498821.766253","-225230239.229325","-233632315.170255","-216205080.047508","-212485261.664314","-236695702.311126","-200399288.278065","-202572991.166189","-238789666.207044","-238919071.149578","-239555394.831239","-239810610.360444","-239905503.388403","-239995945.98216","-241539514.544265","-240933899.754737","-241164771.560586","-212709236.12975","-243301943.058643","-248925076.294802","-250428332.062923","-251743992.911105","21999889.3628169","24325698.4049194","21860497.127998","20964898.4323776","-Inf","-Inf","-Inf","-Inf"
"BIC","-442127879.515064","-446459802.060661","-446970502.698537","-454736178.87544","-461195600.51288","-464577027.770283","-464606251.486264","-464644373.41379","-466002898.841971","-467999247.971587","-468444064.263753","-468467368.078723","-469178840.701177","-470157006.839159","-479765671.616657","-481444631.75006","-484036366.107572","-485702674.197478","-489370602.700019","-493718119.942757","-497086070.515928","-497534447.746682","-498807095.110005","-499317637.634906","-499508148.223015","-499689033.41053","-500882122.630868","-501564940.955682","-502025960.035189","-502617460.86062","-503081057.88261","-510161069.187609","-514115045.897314","-515231036.381837","-49584163535.8287","-49585202808.4217","-67948312720.2462","-67958207797.9009","-Inf","-Inf","-Inf","-Inf"
"ICL","-442127880.075813","-446459803.342776","-446970503.655906","-454736180.817428","-461195600.710924","-464577029.69459","-464606253.02073","-464644374.993621","-466002899.056772","-467999249.762909","-468444067.685005","-468467372.83182","-469178844.223913","-470157007.291521","-479765674.391095","-481444633.59529","-484036366.138806","-485702675.195368","-489370603.814055","-493718120.879769","-497086071.797032","-497534448.791884","-498807096.087007","-499317640.182491","-499508149.5686","-499689035.048507","-500882125.238802","-501564941.091985","-502025962.235387","-502617461.138149","-503081058.545593","-510161074.481096","-514115047.545899","-515231037.549698","-49584163538.5784","-49585202808.6513","-67948312721.8363","-67958207799.5548","-Inf","-Inf","-Inf","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","3","2","1","21","36","23","15","7","37","22","9","16","17","8","29","6","4","31","12","11","19","40","26","25","38","10","18","24","39","5","20","34","32","33","28","27","13","14","30","35","41","42"
"complexity","5095415","5645619","5971520","3180463","2120443","2120431","1916631","2120521","2120431","2120443","2120431","1957308","1957309","2120443","1345808","5278839","6358773","1325378","9535281","9535293","2100011","2120419","2120419","2120431","2120509","2120509","1916604","2120509","2120431","8310909","1773861","1325340","1427340","1264206","489357","489367","978235","978201",NA,NA,NA,NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals"
