"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","2","8","12","11","11","7","7","8","12","11","2","7","1","1","1","5","10","14","9","4","12","2","13","9","8","5","10","14","13","4","9","13","14","5","10","3","6","3","4","6","6","3"
"K","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11"
"threshold","0.01","0.01","0.01","0.01","0.1","0.01","0.1","0.1","0.1","0.2","0.1","0.2","0.1","0.01","0.2","0.01","0.01","0.01","0.01","0.1","0.2","0.2","0.01","0.1","0.2","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.01","0.01","0.01","0.1","0.2","0.2"
"LL","-199705714.177585","-199947894.063514","-199993035.3827","-187836969.756971","-213818120.946556","-190261931.481728","-215876621.791407","-226829635.861026","-226409658.506545","-227087083.316961","-228569852.813574","-227541785.601649","-227960794.485837","-228720170.58656","-229240889.053173","-218473696.74369","-217537804.149697","-215789003.116483","-206022461.604199","-232949528.922139","-240900814.422101","-242160787.149168","-208970126.737393","-234181316.821735","-242423169.044212","-241446221.750454","-243095987.317148","-243866913.334371","-243629275.567099","-243753714.86709","-244209022.665347","-245987786.466948","-251285854.910694","-254119720.776458","-255774969.609341","20539896.2764811","19454206.9420006","18595880.0964559","-Inf","-Inf","-Inf","-Inf"
"BIC","-441819978.808216","-447598365.258915","-447691889.7144","-450623162.771803","-452634098.007621","-455469612.182348","-456750077.921156","-468052670.326956","-468728223.318444","-470841072.944668","-471722940.955092","-471749864.448343","-472587789.327978","-474106541.529423","-475147978.462649","-481056625.349044","-482021049.291192","-484008332.402813","-486990579.538547","-490895706.405136","-491272239.918526","-492844998.865425","-492889383.843904","-493359375.09307","-493559144.223716","-498989793.198164","-502289528.686786","-502695955.177329","-503925364.556202","-504173537.201742","-505084245.686998","-508642386.3559","-513178480.260681","-517709541.739156","-521398904.718943","-49563500862.3341","-67888759981.2603","-67942298501.8964","-Inf","-Inf","-Inf","-Inf"
"ICL","-441819978.814354","-447598366.993191","-447691890.084025","-450623162.875727","-452634100.585841","-455469613.362583","-456750079.6711","-468052672.760218","-468728227.884828","-470841073.67607","-471722942.604147","-471749866.765223","-472587791.421774","-474106545.186618","-475147979.431089","-481056626.515697","-482021049.291743","-484008332.410207","-486990579.575343","-490895706.624484","-491272245.228039","-492845000.924813","-492889383.927519","-493359375.987864","-493559146.667061","-498989794.125666","-502289530.189283","-502695958.255049","-503925366.846075","-504173539.966695","-505084246.727712","-508642386.884","-513178483.947677","-517709545.326501","-521398906.19499","-49563500868.1714","-67888759983.2367","-67942298503.4215","-Inf","-Inf","-Inf","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","3","2","1","7","21","8","22","16","15","35","17","36","23","9","37","6","5","4","11","26","29","31","10","25","30","20","19","18","24","40","39","38","32","34","33","28","13","14","12","27","41","42"
"complexity","4565521","5135453","5135802","8068709","2691161","8068335","2691051","1549531","1712684","1794287","1569968","1794221","1794211","1794211","1794211","4748609","5053943","5644422","8068325","2691031","1019565","917595","8068699","2691041","937983","1732971","1732993","1610758","1794277","1794201","1794211","1794277","1141879","1019510","1060297","448571","937449","937415",NA,NA,NA,NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals"
